Row,FL,X,Y,Z,X1,Y1,Z1
693,a,-112.4,60.4,49.3,-110.98,59.31,51.45
695,a,-109.9,63.6,45,-112.52,62.49,43.09
697,a,-122,59.3,52.3,-131.78,55.87,62.83
699,a,-114.9,62.8,55,-118.15,57.54,60.01
701,a,-123.3,61,45.9,-133.32,49.46,38.11
703,a,-123.5,62.3,54.9,-121.22,60.71,61.77
705,a,-115.5,83.4,39.4,-113.64,87.51,39.07
707,a,-133.4,58.5,58.3,-152.71,47.95,54.9
709,a,-134.7,65.6,55.2,-130.98,62.1,65.89
711,a,-130.2,81.6,56.2,-131.16,81.76,54.19
713,a,-131.8,82.9,56.7,-133.59,81.53,55.89
715,a,-132,83.3,56.9,-135.98,83.33,59.45
717,a,-130.5,81.3,57.5,-127.53,76.58,61.32
719,a,-133.1,80.2,60.3,-133.15,75.3,65.41
721,a,-141.6,61.9,40.8,-142.31,46.99,36.22
723,a,-140.7,62.7,41.5,-146.32,59.37,38.93
725,a,-135.3,64.7,42.5,-136.5,60.85,43.65
727,a,-148.3,70,38.5,-154.35,69.16,36.27
729,a,-138.3,69.5,34.9,-140.36,65.91,30.22
731,a,-141.5,69.5,36.2,-150,61.89,27.86
733,a,-130.6,94.3,43.3,-131.52,95.09,46.67
735,a,-144.9,66.1,52.2,-139.26,68.07,70.2
737,a,-131.2,85.7,46,-125.75,88.75,41.12
739,a,-142.2,66.2,57,-134.06,78,70.42
741,a,-147.4,69.7,51.3,-155.84,71.95,45.38
743,a,-145.3,64.8,59.2,-148.69,63.72,73.73
745,a,-142,67.8,58.2,-158.39,54.97,56.65
747,a,-127,89.5,57.3,-120.59,88.77,56.16
1,c, 46.5, 120.7, -27.2,53.80, 112.08, -24.87
3,c, 43.7, 129.4, -28.6,49.37, 135.78, -20.22
5,c, 46.5, 123.1, -34.9,54.24, 109.04, -34.73
7,c, 41.4, 106.8, -43.7,49.20, 99.77, -46.85
9,c, 34.9, 100.0, -45.9,27.58, 95.14, -50.23
11,c, 42.0, 101.6, -49.7,48.75, 97.00, -56.68
13,c, 36.0, 94.3, -47.2,46.65, 81.99, -47.52
15,c, 39.6, 98.8, -48.9,44.86, 89.22, -50.06
17,c, 38.8, 97.7, -53.0,40.12, 86.38, -64.47
19,c, 33.8, 100.2, -51.5,28.52, 98.44, -60.84
