Row,FL,X,Y,Z,X1,Y1,Z1
725,b,-40.2,-5.4,-45.3,-42.25,-13.06,-41.74
727,b,-41.9,-11.3,-51.4,-41.72,-26.92,-48.67
729,b,-36.6,21.9,-32.2,-41.58,17.57,-39.99
731,b,-36.2,22,-29.6,-38.4,22.76,-23.9
733,b,-38.7,16.5,-31.8,-44.75,9.6,-38.37
735,b,-39.6,17.7,-25.2,-41.08,7.48,-20.62
737,b,-38.2,16.8,-30.6,-41.49,4.75,-35.37
739,b,-43.9,11.7,-18.7,-46.73,9.15,-8.2
741,b,-42.8,4.4,-18.1,-42.25,1.92,-13.43
743,b,-46.7,3.8,-24.2,-44.56,4.69,-36.48
